sample_id,rainfall_24h_mm,soil_moisture_pct,slope_deg,ground_movement_mm,elevation_m,curvature,failure_occurred
SMP-00812,97.1,66.8,40.9,9.41,678.0,0.49,1
SMP-00813,118.5,52.3,26.4,4.57,2629.0,-0.35,1
SMP-00814,154.8,79.6,33.5,0.68,957.0,0.41,1
SMP-00815,189.4,59.2,47.7,0.23,2034.0,-0.23,1
SMP-00816,255.1,35.0,25.3,2.82,2833.0,-0.48,0
SMP-00817,259.2,37.7,45.1,0.57,1277.0,0.06,1
SMP-00818,52.2,33.7,34.8,6.78,1472.0,0.04,0
SMP-00819,143.6,55.8,25.2,7.55,1068.0,0.34,0
SMP-00820,231.6,59.5,26.1,6.31,1887.0,-0.28,1
SMP-00821,189.8,78.2,30.1,3.19,2285.0,-0.23,1
SMP-00822,256.9,60.9,28.1,3.95,743.0,0.5,1
SMP-00823,44.5,72.7,35.4,7.96,1271.0,0.18,0
SMP-00824,245.4,96.6,43.8,7.74,1018.0,-0.35,1
SMP-00825,189.7,37.8,21.9,3.54,1385.0,-0.46,1
SMP-00826,128.4,70.9,39.6,2.74,1121.0,-0.5,1
SMP-00827,13.2,53.2,26.6,8.89,2566.0,0.05,0
SMP-00828,11.4,79.7,24.9,3.64,386.0,0.29,0
SMP-00829,222.1,90.7,29.0,8.88,345.0,-0.14,1
SMP-00830,142.2,32.3,49.7,4.29,2934.0,-0.23,1
SMP-00831,186.3,49.2,17.7,2.26,763.0,-0.33,0
SMP-00832,248.8,51.9,45.1,4.73,2120.0,0.41,1
SMP-00833,171.7,79.8,40.9,9.17,2156.0,-0.44,1
SMP-00834,136.8,82.8,23.0,7.13,1466.0,0.18,1
SMP-00835,197.7,84.3,49.6,2.16,1535.0,-0.14,1
SMP-00836,76.0,40.8,20.0,7.31,1905.0,0.19,0
SMP-00837,126.3,75.1,40.8,1.08,1317.0,0.29,0
SMP-00838,245.2,86.5,19.4,4.25,799.0,-0.22,1
SMP-00839,205.8,89.8,46.3,1.14,1153.0,0.43,1
SMP-00840,180.3,59.0,35.0,5.29,2685.0,0.33,1
SMP-00841,94.1,72.3,47.2,3.14,1458.0,0.03,1
SMP-00842,49.6,76.3,35.2,2.0,1875.0,0.46,0
SMP-00843,154.2,69.1,33.7,2.26,2441.0,0.31,1
SMP-00844,130.9,65.8,42.2,6.55,1182.0,0.35,1
SMP-00845,220.7,84.3,45.1,6.19,1798.0,0.31,1
SMP-00846,117.2,30.1,21.9,1.89,2158.0,0.06,0
SMP-00847,99.9,65.2,32.2,9.22,1633.0,-0.16,1
SMP-00848,139.1,58.3,45.0,6.31,1163.0,0.26,1
SMP-00849,87.4,97.4,23.3,4.89,1479.0,0.16,1
SMP-00850,232.5,78.1,22.8,8.48,2308.0,-0.15,1
SMP-00851,13.6,70.8,22.8,1.35,680.0,-0.49,0
SMP-00852,131.2,97.4,19.1,7.12,648.0,0.47,1
SMP-00853,40.4,58.5,19.4,8.2,521.0,0.25,0
SMP-00854,122.5,49.0,25.0,0.88,2288.0,0.4,0
SMP-00855,82.1,61.8,17.9,2.89,393.0,0.43,0
SMP-00856,63.4,78.3,23.2,1.27,1189.0,0.41,0
SMP-00857,29.6,37.2,32.3,7.24,1002.0,-0.29,0
SMP-00858,46.3,82.7,17.9,3.08,2747.0,-0.31,0
SMP-00859,63.1,93.1,12.9,5.86,1409.0,-0.4,1
SMP-00860,109.6,76.2,13.6,0.59,933.0,-0.39,0
SMP-00861,258.2,87.1,18.0,3.6,1969.0,0.33,1
SMP-00862,105.1,42.4,15.0,9.03,1865.0,-0.23,1
SMP-00863,60.2,48.7,43.1,1.32,1575.0,-0.1,0
SMP-00864,129.1,48.4,28.4,3.16,2639.0,0.3,0
SMP-00865,215.7,93.9,20.7,8.47,873.0,-0.08,1
SMP-00866,85.0,84.4,20.3,4.28,3011.0,-0.24,0
SMP-00867,158.3,30.5,47.7,6.92,2664.0,0.4,1
SMP-00868,79.4,67.1,12.1,2.2,1317.0,-0.11,0
SMP-00869,30.7,91.9,19.6,5.43,1102.0,-0.32,0
SMP-00870,126.1,59.9,42.2,1.92,2339.0,0.29,0
SMP-00871,221.4,85.8,27.8,4.11,781.0,-0.01,1
SMP-00872,229.8,30.5,41.7,1.85,532.0,0.35,1
SMP-00873,166.0,74.0,43.6,3.59,352.0,0.42,1
SMP-00874,41.6,49.0,19.9,5.45,1203.0,0.46,0
SMP-00875,139.2,31.4,12.2,4.39,1134.0,0.07,0
SMP-00876,203.1,58.9,37.5,1.6,1315.0,-0.17,1
SMP-00877,238.8,68.1,25.8,7.32,2619.0,-0.33,1
SMP-00878,161.9,56.7,36.9,6.07,1325.0,0.09,1
SMP-00879,42.2,53.9,48.8,7.75,2662.0,0.01,0
SMP-00880,50.3,77.5,50.4,5.44,1454.0,0.33,0
SMP-00881,102.0,42.0,36.9,6.48,879.0,-0.32,1
SMP-00882,95.2,86.6,21.2,7.46,766.0,0.13,1
SMP-00883,41.9,66.7,49.0,7.86,2036.0,-0.37,1
SMP-00884,149.8,37.9,35.3,9.28,407.0,-0.3,1
SMP-00885,245.0,62.6,14.3,8.86,2539.0,-0.26,1
SMP-00886,221.1,34.1,34.8,6.32,1132.0,-0.35,1
SMP-00887,257.6,69.0,26.8,7.38,2269.0,-0.14,1
SMP-00888,19.8,72.6,17.3,3.1,1272.0,-0.04,0
SMP-00889,163.1,68.7,30.1,4.34,2014.0,-0.01,1
SMP-00890,216.1,48.0,31.9,1.71,547.0,-0.14,0
SMP-00891,88.2,56.5,15.9,2.64,530.0,0.46,0
SMP-00892,194.0,68.0,34.8,7.35,684.0,0.31,1
SMP-00893,120.6,89.8,27.3,4.24,1724.0,0.46,1
SMP-00894,117.1,58.0,39.0,7.76,3021.0,-0.07,1
SMP-00895,182.1,67.5,12.8,0.45,2995.0,0.2,1
SMP-00896,190.8,65.3,50.2,6.72,453.0,-0.5,1
SMP-00897,47.5,86.0,24.8,1.33,2436.0,0.13,0
SMP-00898,91.1,56.5,45.8,6.5,1047.0,-0.49,0
SMP-00899,97.9,40.0,43.7,2.96,1941.0,-0.17,0
SMP-00900,45.1,63.7,17.6,5.68,551.0,-0.42,0
SMP-00901,45.4,69.0,16.2,3.63,329.0,0.19,0
SMP-00902,75.2,79.7,27.5,5.09,2519.0,-0.12,0
SMP-00903,167.4,58.0,32.5,8.55,2135.0,0.16,1
SMP-00904,73.1,54.4,23.7,4.67,3072.0,0.23,0
SMP-00905,164.4,47.7,13.5,3.82,1865.0,0.06,1
SMP-00906,109.1,36.6,27.6,1.03,2248.0,0.28,0
SMP-00907,38.6,73.1,45.1,1.21,1387.0,0.03,0
SMP-00908,21.7,67.3,47.5,4.71,545.0,-0.21,0
SMP-00909,215.0,55.7,46.7,7.74,1388.0,0.2,1
SMP-00910,138.6,32.0,43.4,8.7,1639.0,-0.38,1
SMP-00911,102.0,83.3,16.6,5.03,2938.0,-0.02,1
SMP-00912,152.5,56.3,42.8,7.72,1076.0,-0.24,1
SMP-00913,102.4,61.6,44.0,9.25,2234.0,-0.33,1
SMP-00914,243.8,33.9,42.1,6.97,1290.0,0.41,1
SMP-00915,183.9,96.4,37.4,0.39,2279.0,-0.0,1
SMP-00916,249.4,70.3,22.1,5.95,978.0,0.2,1
SMP-00917,31.4,49.7,50.2,6.74,1646.0,-0.22,0
SMP-00918,38.5,97.6,49.7,5.23,657.0,0.22,1
SMP-00919,37.8,78.4,41.6,7.28,2021.0,0.11,1
SMP-00920,75.2,61.8,15.9,1.32,1686.0,-0.12,0
SMP-00921,24.0,66.6,29.9,6.28,1932.0,0.46,0
SMP-00922,152.6,67.3,16.4,8.86,1884.0,-0.15,1
SMP-00923,71.4,83.3,17.5,5.74,1590.0,-0.18,0
SMP-00924,139.2,39.7,43.1,8.43,551.0,-0.35,1
SMP-00925,228.8,46.3,25.9,4.4,3166.0,-0.06,1
SMP-00926,196.5,96.0,48.8,6.59,2727.0,-0.25,1
SMP-00927,72.4,86.9,35.7,7.17,2972.0,-0.26,1
SMP-00928,188.7,61.9,27.2,3.85,2116.0,-0.48,1
SMP-00929,73.0,42.1,40.4,0.6,2373.0,0.42,0
SMP-00930,29.4,53.3,24.6,7.12,746.0,0.28,0
SMP-00931,140.7,64.9,43.9,3.24,2191.0,-0.28,1
SMP-00932,119.7,46.4,48.0,3.03,1189.0,-0.45,1
SMP-00933,54.5,31.7,50.2,6.25,1284.0,-0.49,0
SMP-00934,213.1,30.2,48.5,9.18,2736.0,-0.35,1
SMP-00935,115.1,32.4,52.0,5.41,979.0,-0.39,0
SMP-00936,29.7,91.2,14.3,6.03,2770.0,-0.37,0
SMP-00937,208.3,78.5,45.7,2.21,3101.0,-0.06,1
SMP-00938,155.2,85.3,15.4,3.35,1653.0,-0.44,1
SMP-00939,87.8,42.0,41.0,5.44,1914.0,0.5,0
SMP-00940,149.6,59.3,31.7,1.59,1201.0,-0.34,0
SMP-00941,41.3,86.1,24.3,8.67,1366.0,-0.34,1
SMP-00942,141.6,31.1,50.6,7.02,2909.0,0.09,1
SMP-00943,134.7,34.7,34.0,3.85,3119.0,0.11,0
SMP-00944,123.6,48.6,46.1,6.54,1000.0,0.38,1
SMP-00945,21.6,44.9,13.2,0.97,2360.0,0.46,0
SMP-00946,155.9,59.7,34.6,4.66,2698.0,0.45,1
SMP-00947,126.2,74.9,42.4,1.5,375.0,-0.23,0
SMP-00948,194.4,74.0,40.1,1.23,1776.0,0.25,1
SMP-00949,251.2,64.2,26.3,9.45,1054.0,-0.28,1
SMP-00950,44.0,82.4,42.7,9.04,2789.0,-0.25,1
SMP-00951,23.2,31.0,15.1,6.4,1119.0,-0.14,0
SMP-00952,211.6,54.7,28.6,7.79,1147.0,-0.34,1
SMP-00953,184.9,58.4,36.8,0.89,1524.0,-0.3,1
SMP-00954,228.8,63.1,33.6,5.06,2493.0,0.31,1
SMP-00955,228.8,90.3,25.5,6.31,1660.0,-0.48,1
SMP-00956,102.0,75.5,29.3,2.28,1092.0,0.09,0
SMP-00957,17.1,79.8,42.7,1.23,2658.0,0.45,0
SMP-00958,163.9,62.6,46.5,5.45,2921.0,0.46,1
SMP-00959,128.9,30.4,41.7,8.29,2655.0,0.12,0
SMP-00960,248.3,50.5,47.7,6.19,1135.0,0.18,1
SMP-00961,230.7,39.4,50.5,5.0,2784.0,0.45,1
SMP-00962,75.9,73.4,47.2,7.88,2824.0,0.31,1
SMP-00963,215.1,64.6,27.8,2.22,1835.0,-0.17,1
SMP-00964,161.2,44.0,26.3,3.8,2007.0,0.26,0
SMP-00965,62.1,32.3,51.9,2.92,2160.0,0.19,0
SMP-00966,186.9,67.4,42.3,6.32,2573.0,0.48,1
SMP-00967,35.5,85.0,16.6,1.91,1641.0,0.09,0
SMP-00968,24.8,95.1,12.4,9.0,655.0,-0.24,1
SMP-00969,223.6,71.9,25.7,3.44,1213.0,0.19,1
SMP-00970,11.7,79.2,14.9,3.91,1773.0,-0.01,0
SMP-00971,175.0,31.7,17.3,6.18,2311.0,0.14,0
SMP-00972,203.6,96.5,37.9,3.39,1310.0,-0.2,1
SMP-00973,196.1,86.1,45.7,4.02,318.0,0.05,1
SMP-00974,109.5,74.1,31.8,4.82,1440.0,0.12,1
SMP-00975,177.8,60.3,49.1,1.79,1384.0,0.38,1
SMP-00976,209.5,72.6,48.4,1.54,330.0,-0.47,1
SMP-00977,241.7,43.6,23.8,4.67,1528.0,-0.08,1
SMP-00978,165.8,76.5,32.1,4.62,2132.0,0.09,1
SMP-00979,11.9,71.6,21.8,4.29,910.0,0.08,0
SMP-00980,249.7,35.2,12.3,6.61,2877.0,0.11,1
SMP-00981,65.7,84.3,47.4,4.25,2455.0,0.2,1
SMP-00982,173.8,84.2,51.0,9.02,1060.0,0.11,1
SMP-00983,34.2,43.0,30.6,0.79,1690.0,0.11,0
SMP-00984,135.7,92.7,41.6,2.83,2446.0,0.5,1
SMP-00985,98.5,48.8,29.5,5.94,893.0,0.34,0
SMP-00986,243.0,69.3,42.6,8.67,2841.0,-0.23,1
SMP-00987,155.2,40.8,51.9,6.81,1014.0,-0.02,1
SMP-00988,28.2,87.5,41.6,6.45,2439.0,0.14,1
SMP-00989,42.9,72.6,29.5,1.08,2295.0,-0.39,0
SMP-00990,31.2,45.7,32.1,9.16,878.0,-0.2,0
SMP-00991,50.2,96.1,21.5,4.0,2585.0,-0.01,1
SMP-00992,215.0,82.5,42.4,4.96,3132.0,-0.3,1
SMP-00993,93.2,92.0,14.6,5.63,838.0,-0.42,1
SMP-00994,51.5,40.6,30.0,3.49,1223.0,-0.19,0
SMP-00995,75.6,39.4,15.2,1.78,1345.0,-0.2,0
SMP-00996,173.3,54.4,35.7,0.54,1571.0,-0.33,0
SMP-00997,124.0,44.2,42.8,9.09,2811.0,-0.29,1
SMP-00998,53.8,33.8,27.4,6.16,1536.0,-0.31,0
SMP-00999,237.9,78.1,24.2,9.39,3022.0,-0.36,1
SMP-01000,168.6,46.3,47.3,8.17,1342.0,0.38,1
SMP-01001,250.3,51.5,22.7,3.22,2674.0,-0.21,1
SMP-01002,161.6,54.1,39.0,6.68,405.0,0.28,1
SMP-01003,54.8,45.6,49.6,0.36,2303.0,0.19,0
SMP-01004,163.6,36.1,43.6,3.15,2271.0,0.3,1
SMP-01005,122.4,85.2,42.8,4.4,2612.0,-0.15,1
SMP-01006,254.1,40.8,22.5,7.45,678.0,-0.17,1
SMP-01007,223.2,77.8,37.5,8.69,1727.0,-0.33,1
SMP-01008,134.6,31.0,24.6,7.8,2648.0,-0.47,1
SMP-01009,73.9,85.7,27.3,0.56,3140.0,-0.49,0
SMP-01010,125.3,63.5,35.9,8.25,1206.0,-0.36,1
SMP-01011,20.0,46.6,18.8,7.49,2726.0,-0.22,0
SMP-01012,93.0,58.5,43.9,8.87,1403.0,0.35,1
SMP-01013,248.0,51.6,32.2,3.4,1595.0,-0.08,1
SMP-01014,121.7,70.1,49.3,4.52,3088.0,0.36,1
SMP-01015,140.6,68.1,26.2,7.85,2672.0,-0.09,1
SMP-01016,83.6,79.9,14.0,1.26,1720.0,0.25,0
SMP-01017,178.8,68.8,17.1,4.27,1545.0,-0.31,0
SMP-01018,130.1,86.5,48.9,6.04,2003.0,0.01,1
SMP-01019,205.1,89.2,27.7,1.17,1816.0,0.17,0
SMP-01020,155.7,91.7,35.2,9.3,416.0,0.37,1
SMP-01021,228.3,45.6,47.8,1.36,748.0,-0.06,1
SMP-01022,55.0,92.2,23.4,2.12,1245.0,0.17,0
SMP-01023,161.6,85.6,40.9,0.71,2059.0,0.01,1
SMP-01024,151.4,77.0,35.1,6.27,2894.0,-0.2,1
SMP-01025,91.8,44.0,27.0,7.61,1921.0,0.33,0
SMP-01026,46.6,91.4,35.9,3.12,3065.0,-0.28,0
SMP-01027,73.1,46.5,14.3,1.67,2583.0,0.45,0
SMP-01028,177.7,73.2,27.6,4.04,1339.0,-0.47,1
SMP-01029,218.3,66.4,25.1,8.17,773.0,0.08,1
SMP-01030,205.3,43.8,36.4,6.72,1922.0,0.12,1
SMP-01031,211.7,41.9,18.5,4.96,1197.0,0.16,1
SMP-01032,146.6,66.1,22.1,6.17,1476.0,-0.2,1
SMP-01033,100.0,92.8,19.7,2.66,3045.0,0.31,0
SMP-01034,44.3,91.1,14.8,3.48,2292.0,-0.45,0
SMP-01035,184.9,66.6,20.5,7.62,2952.0,-0.15,1
SMP-01036,159.2,46.4,27.4,7.31,668.0,0.45,1
SMP-01037,163.8,55.9,29.8,1.33,754.0,-0.33,1
SMP-01038,48.0,92.9,20.9,7.18,2585.0,-0.21,0
SMP-01039,68.8,84.6,12.2,8.79,2047.0,-0.24,1
SMP-01040,178.4,63.7,30.3,0.56,2612.0,0.07,1
SMP-01041,242.1,87.9,12.6,4.52,2128.0,-0.43,1
SMP-01042,176.5,44.3,22.7,7.96,2530.0,0.1,1
SMP-01043,96.1,56.4,43.0,5.36,2524.0,0.16,1
SMP-01044,242.3,92.8,36.6,6.84,1587.0,0.36,1
SMP-01045,29.2,41.5,27.2,4.82,3117.0,0.16,0
SMP-01046,184.1,93.9,37.2,5.87,375.0,-0.5,1
SMP-01047,230.4,53.2,17.9,8.96,1718.0,0.37,1
SMP-01048,135.2,47.3,38.7,7.35,545.0,0.35,1
SMP-01049,106.0,56.9,48.0,8.81,2657.0,0.33,1
SMP-01050,227.8,66.7,37.0,4.27,2024.0,0.1,1
SMP-01051,240.8,50.5,13.0,1.54,2943.0,-0.47,1
SMP-01052,63.2,90.7,13.1,5.49,3014.0,0.24,0
SMP-01053,177.3,74.1,50.8,4.99,1127.0,0.3,1
SMP-01054,30.8,31.9,20.6,1.78,1115.0,0.16,0
SMP-01055,255.1,76.7,48.4,5.46,696.0,0.04,1
SMP-01056,224.4,60.1,32.1,7.28,999.0,-0.45,1
SMP-01057,26.2,84.3,32.1,4.08,2587.0,0.13,0
SMP-01058,180.6,39.9,50.2,8.7,2002.0,0.4,1
SMP-01059,30.1,90.6,15.0,0.46,2370.0,-0.25,0
SMP-01060,244.6,45.7,44.3,0.91,1800.0,0.3,1
SMP-01061,53.7,32.3,36.9,1.79,2900.0,-0.45,0
SMP-01062,96.0,36.5,37.9,6.23,2808.0,0.06,1
SMP-01063,40.2,48.0,21.7,1.4,2290.0,-0.31,0
SMP-01064,197.6,43.5,25.0,2.38,797.0,-0.07,0
SMP-01065,90.3,51.2,34.4,8.94,2972.0,-0.09,0
SMP-01066,128.4,45.0,16.9,0.78,2997.0,0.42,0
SMP-01067,196.5,71.3,26.2,6.11,3017.0,0.13,1
SMP-01068,148.7,82.9,46.2,0.73,2874.0,0.26,1
SMP-01069,107.7,30.1,41.2,3.21,1846.0,0.49,0
SMP-01070,90.7,66.8,49.2,7.02,2234.0,-0.32,1
SMP-01071,232.5,58.7,19.6,0.28,1740.0,-0.25,1
SMP-01072,214.1,68.8,20.0,5.21,1899.0,-0.47,1
SMP-01073,101.1,58.7,42.8,3.37,2021.0,0.25,0
SMP-01074,36.7,41.9,40.4,9.37,1671.0,0.38,0
SMP-01075,113.9,63.2,13.4,2.33,665.0,-0.0,0
SMP-01076,138.5,74.9,25.1,0.94,1339.0,0.19,1
SMP-01077,162.9,34.2,15.6,8.35,914.0,-0.43,1
SMP-01078,213.9,65.9,45.5,4.91,2600.0,0.01,1
SMP-01079,153.1,58.4,26.6,5.59,695.0,0.03,1
SMP-01080,18.2,82.7,29.4,8.25,1808.0,0.46,0
SMP-01081,85.9,38.3,31.7,1.21,2871.0,0.25,0
SMP-01082,211.5,51.9,13.3,8.7,2062.0,-0.37,1
SMP-01083,15.7,65.5,33.3,8.55,2332.0,-0.26,0
SMP-01084,245.8,67.8,34.7,4.15,575.0,-0.31,1
SMP-01085,136.5,65.4,41.7,2.75,1379.0,0.39,0
SMP-01086,242.4,40.1,42.6,9.44,380.0,-0.29,1
SMP-01087,99.4,90.5,46.2,2.77,333.0,0.13,1
SMP-01088,162.2,60.2,34.2,0.97,1724.0,-0.29,0
SMP-01089,83.2,95.2,15.8,3.19,2912.0,0.24,0
SMP-01090,28.8,57.4,13.0,3.91,624.0,-0.08,0
SMP-01091,199.7,36.8,18.8,9.18,1822.0,-0.04,0
SMP-01092,12.2,40.9,27.4,0.22,2115.0,0.46,0
SMP-01093,41.1,83.8,44.9,3.74,1556.0,-0.3,0
SMP-01094,146.1,42.7,17.2,2.19,1049.0,0.01,0
SMP-01095,246.5,46.6,46.5,2.41,493.0,-0.44,1
SMP-01096,103.3,85.3,38.5,4.47,3199.0,-0.1,1
SMP-01097,256.8,59.7,31.5,5.76,3132.0,-0.42,1
SMP-01098,152.0,41.5,23.7,1.04,707.0,-0.2,0
SMP-01099,69.0,75.2,48.0,3.21,1430.0,-0.05,1
SMP-01100,179.5,43.1,23.4,5.55,2715.0,0.31,1
SMP-01101,211.5,67.3,24.4,5.46,2128.0,-0.24,1
SMP-01102,114.1,56.8,25.8,7.96,647.0,-0.25,1
SMP-01103,259.5,47.8,51.2,2.26,366.0,0.31,1
SMP-01104,215.5,79.3,30.9,0.52,2612.0,0.02,1
SMP-01105,238.9,63.3,39.7,7.46,2288.0,0.16,1
SMP-01106,29.1,48.8,34.6,6.4,1060.0,-0.2,0
SMP-01107,17.8,87.0,21.6,5.29,2953.0,-0.41,0
SMP-01108,95.1,46.3,14.4,2.76,2510.0,0.32,0
SMP-01109,198.1,72.3,43.5,5.92,1731.0,-0.48,1
SMP-01110,246.7,63.0,41.3,0.93,691.0,-0.28,1
SMP-01111,154.3,93.6,41.4,8.69,663.0,-0.1,1
SMP-01112,93.7,34.1,30.2,5.12,2990.0,0.28,0
SMP-01113,187.2,97.9,22.4,2.72,2095.0,-0.35,1
SMP-01114,110.7,38.7,13.1,7.19,439.0,-0.29,0
SMP-01115,100.4,81.6,47.7,1.24,1667.0,0.0,1
SMP-01116,120.9,31.7,19.9,6.3,2030.0,0.42,0
SMP-01117,190.4,76.5,39.5,2.16,1336.0,-0.13,1
SMP-01118,144.5,61.5,33.3,2.82,1397.0,-0.38,1
SMP-01119,259.7,77.8,18.2,5.12,3109.0,-0.05,1
SMP-01120,104.4,72.1,23.5,0.14,2904.0,0.43,0
SMP-01121,94.2,41.0,12.3,2.68,1501.0,-0.19,0
SMP-01122,43.3,49.1,47.9,0.82,663.0,-0.33,0
SMP-01123,41.5,37.3,28.4,2.42,353.0,0.21,0
SMP-01124,140.4,95.7,36.5,2.93,2451.0,0.01,1
SMP-01125,92.5,36.8,36.7,3.11,2241.0,0.3,0
SMP-01126,115.1,47.9,33.8,2.56,2739.0,0.11,0
SMP-01127,153.2,80.5,23.8,2.42,1718.0,-0.43,0
SMP-01128,210.0,66.3,39.2,0.35,2193.0,-0.42,1
SMP-01129,135.8,63.0,25.9,3.22,2869.0,0.17,0
SMP-01130,35.0,54.3,31.1,0.93,2758.0,0.09,0
SMP-01131,96.7,41.8,39.4,4.16,1607.0,-0.33,0
SMP-01132,228.6,52.0,18.9,5.95,3168.0,0.15,1
SMP-01133,179.1,41.5,37.4,2.52,2518.0,-0.16,0
SMP-01134,32.3,51.0,39.8,4.08,2042.0,0.26,0
SMP-01135,209.7,47.5,17.9,5.03,961.0,-0.1,0
SMP-01136,130.5,78.3,24.7,5.28,746.0,0.34,1
SMP-01137,41.8,79.7,13.5,1.87,545.0,0.01,0
SMP-01138,12.4,70.6,23.7,3.71,1701.0,0.22,0
SMP-01139,19.8,55.8,47.0,6.48,928.0,0.14,1
SMP-01140,174.4,44.4,38.6,5.23,2608.0,0.03,1
SMP-01141,146.1,53.6,42.8,0.63,1981.0,0.22,0
SMP-01142,21.8,69.3,36.9,9.22,1459.0,-0.49,0
SMP-01143,202.1,90.9,29.9,0.92,1512.0,0.45,1
SMP-01144,235.0,31.8,47.3,0.6,1469.0,-0.11,0
SMP-01145,231.2,77.8,22.7,8.19,563.0,0.45,1
SMP-01146,147.5,42.7,44.1,7.24,3122.0,0.47,1
SMP-01147,17.3,41.7,29.2,4.02,2185.0,0.44,0
SMP-01148,19.4,97.7,47.8,8.84,2145.0,0.43,1
SMP-01149,113.3,80.7,36.0,1.71,1401.0,0.07,1
SMP-01150,162.0,59.4,30.5,8.43,1852.0,-0.27,1
SMP-01151,99.0,61.1,29.4,7.14,2921.0,0.46,1
SMP-01152,24.3,63.7,14.4,1.2,546.0,0.31,0
SMP-01153,259.0,68.6,33.7,8.4,968.0,-0.0,1
SMP-01154,98.8,77.9,24.3,0.12,1713.0,0.36,0
SMP-01155,176.0,86.3,21.1,1.29,406.0,-0.15,1
SMP-01156,233.2,88.1,16.5,7.21,843.0,-0.47,1
SMP-01157,242.3,44.9,15.0,1.66,3150.0,-0.12,0
SMP-01158,167.4,33.8,24.1,6.59,1526.0,-0.13,1
SMP-01159,110.3,53.9,39.6,3.11,801.0,-0.04,0
SMP-01160,134.9,64.4,45.4,5.16,3199.0,0.21,1
SMP-01161,252.7,48.6,44.7,6.57,3070.0,-0.06,1
SMP-01162,106.1,54.8,26.1,1.72,1319.0,-0.11,0
SMP-01163,33.5,67.7,38.3,8.65,2810.0,0.29,0
SMP-01164,38.6,56.6,44.7,9.12,2460.0,0.22,1
SMP-01165,154.2,53.7,38.5,5.97,2586.0,0.22,0
SMP-01166,205.9,77.4,26.9,3.58,745.0,-0.25,1
SMP-01167,178.5,86.3,41.3,3.58,569.0,-0.09,1
SMP-01168,224.3,63.7,13.8,7.55,646.0,-0.15,1
SMP-01169,244.8,42.4,22.4,5.91,1256.0,-0.16,1
SMP-01170,254.7,34.4,48.1,2.15,1809.0,-0.17,1
SMP-01171,116.8,86.0,46.2,5.41,352.0,0.3,1
SMP-01172,63.1,54.9,27.4,3.18,3023.0,0.37,0
SMP-01173,114.8,82.8,49.5,7.37,3141.0,0.24,1
SMP-01174,204.7,84.6,21.7,3.94,1681.0,-0.16,1
SMP-01175,227.1,47.6,12.0,2.47,1810.0,-0.44,1
SMP-01176,29.1,38.6,42.8,6.02,1906.0,0.26,0
SMP-01177,78.5,70.3,19.2,2.43,418.0,0.02,0
SMP-01178,161.6,77.2,34.6,5.05,1829.0,-0.43,1
SMP-01179,236.0,97.9,13.8,6.55,2079.0,0.47,1
SMP-01180,244.6,87.2,36.5,8.13,1604.0,0.34,1
SMP-01181,220.1,67.9,46.2,9.19,3055.0,0.45,1
SMP-01182,149.4,96.4,34.1,6.63,378.0,-0.11,1
SMP-01183,86.1,95.3,20.0,0.52,538.0,0.14,1
SMP-01184,40.8,66.2,13.6,1.45,2071.0,-0.02,0
SMP-01185,206.2,86.6,37.1,2.98,2077.0,-0.31,1
SMP-01186,230.4,59.2,20.1,5.39,1789.0,-0.01,1
SMP-01187,79.9,95.9,16.7,3.36,2810.0,0.5,1
SMP-01188,257.0,63.0,14.3,8.48,1414.0,0.14,1
SMP-01189,51.8,63.9,44.4,5.87,825.0,0.16,0
SMP-01190,250.2,63.6,31.6,6.03,2200.0,-0.3,1
SMP-01191,180.7,39.2,28.6,3.52,2438.0,-0.23,0
SMP-01192,221.7,38.7,30.6,4.71,642.0,0.46,1
SMP-01193,254.0,42.1,46.6,6.01,682.0,0.46,1
SMP-01194,159.2,66.2,13.5,9.12,1206.0,-0.01,1
SMP-01195,205.8,63.2,34.0,1.37,829.0,-0.33,1
SMP-01196,141.0,76.2,31.0,3.52,1164.0,-0.48,1
SMP-01197,52.2,71.1,12.7,5.25,1495.0,0.09,0
SMP-01198,124.2,90.8,37.2,8.07,2202.0,0.18,1
SMP-01199,58.5,66.2,20.6,6.12,820.0,0.16,0
SMP-01200,257.0,95.2,15.1,0.89,3154.0,0.0,1
SMP-01201,147.6,32.2,46.4,2.65,2308.0,-0.46,0
SMP-01202,124.3,45.4,27.5,2.96,915.0,-0.06,0
SMP-01203,245.0,69.8,30.3,7.27,1177.0,-0.06,1
SMP-01204,157.5,69.5,43.2,6.64,2674.0,-0.32,1
SMP-01205,170.2,75.7,47.2,3.3,963.0,-0.05,1
SMP-01206,197.2,61.9,34.1,0.71,2360.0,0.36,1
SMP-01207,223.7,68.6,51.8,8.81,1073.0,0.07,1
SMP-01208,91.0,71.4,32.8,0.28,509.0,0.23,0
SMP-01209,145.4,32.5,46.7,8.15,2312.0,-0.18,1
SMP-01210,17.9,58.2,28.6,5.76,1669.0,0.29,0
SMP-01211,110.9,64.9,32.6,6.36,603.0,0.21,1
SMP-01212,219.1,77.3,30.3,8.57,1545.0,0.27,1
SMP-01213,110.2,45.0,43.4,5.75,2767.0,0.22,1
SMP-01214,192.5,47.6,33.8,2.9,752.0,0.23,1
SMP-01215,116.0,44.8,40.7,7.03,1505.0,0.48,0
SMP-01216,210.0,33.2,28.5,8.67,1421.0,0.17,1
SMP-01217,244.5,92.5,34.7,5.93,630.0,-0.48,1
SMP-01218,244.6,45.9,29.7,7.84,727.0,0.19,1
